t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
107	0.088682514	0.129851213	-1.238630785	0.370219074	-0.875155494	1.391089785	-0.528971072	-0.464441772	0.26998839	-0.390437015	0.210895364	-0.285030462
108	0.52029987	0.2648194	-1.021689203	0.770424998	-0.888591637	0.720869138	-0.590271877	-0.438827507	0.706174968	-0.197064149	0.175860009	-0.074503841
109	0.358959965	-0.20489355	-0.644940799	0.441759297	-0.792691522	0.690977791	-0.781065163	-0.15796428	0.611761873	-0.421957915	1.150030241	-0.287639916
110	0.783367602	-0.009662672	-0.835358978	1.360527333	-0.90729205	0.968862532	-0.429703634	0.272759571	-0.469858754	0.88114755	-0.166419292	0.394363177
111	0.504734556	-0.015938666	0.339872899	-0.055016782	-0.723731357	0.484854132	-0.672856608	0.145776175	-0.122711245	0.261075809	-0.250046909	-0.0068988
112	0.09334575	0.084756995	-0.989234927	0.44853256	-1.165942895	0.399726113	-0.633148133	0.268290211	-0.23039697	0.474022199	-0.340342503	1.107146615
113	0.33237397	-0.042721016	-0.832372631	0.395689664	-1.113094261	0.853728818	-0.631600333	-0.375830533	0.417087915	-0.247799456	0.65805279	-0.231342729
114	0.468907827	0.089723093	-1.195188597	0.599451417	-1.169624166	0.574658037	-0.493249363	-0.465658708	0.786750151	-0.306804549	0.700269988	-0.268563444
115	0.824917188	0.013372599	-1.09524171	1.03548756	-1.109357682	1.178367091	-0.775699558	-0.070585118	0.434530685	-0.376237552	0.334915691	-0.400964687
116	0.429660843	-0.041070102	0.177944666	0.221008793	-1.155464454	1.451897365	-0.515477397	-0.240557794	0.417160589	-0.602743815	0.537279122	-0.334456274
117	0.270034186	-0.048067122	-0.793131636	1.338233111	-1.003367077	1.091409079	-0.787181601	0.038739827	-0.085522787	0.129101	0.012407433	0.024087166
118	1.260273087	0.14599023	-1.189441965	0.89315909	-1.27506665	1.615772738	-0.600885582	0.009017668	0.109800355	-0.514093085	1.130517659	-0.209751005
119	0.782591774	-0.161931612	0.001442257	0.218708444	-1.328266777	1.55419573	-0.364544419	-0.150089161	-0.015513895	-0.180248644	1.223936981	-0.103815166
120	-0.052762277	0.945039444	-1.171582787	0.881997387	-1.26268662	0.609636306	-0.392972135	0.506502195	-0.209682234	0.86491429	-0.202457709	0.524115245
121	0.05728804	0.287977196	-0.987894875	0.710889486	-1.554723202	0.973831756	-0.414653245	-0.221428947	0.154084478	-0.473670578	0.066992096	-0.201303496
122	-0.018817951	0.302627598	-1.145997418	1.22789962	-1.253519754	0.768733448	-0.836375509	-0.386125342	-0.035947401	0.306344052	-0.277970582	0.296810159
123	0.279134744	0.100627528	-1.185042451	0.421576325	-1.083378069	1.038167729	-0.49033432	-0.554637343	0.667118451	-0.24207228	0.597851345	-0.335660047
124	0.335342793	0.030518164	-1.033689318	1.504659975	-1.238020959	0.682959115	-0.536579641	-0.254004877	0.619115798	-0.18309499	0.916501951	-0.199866108
125	0.1399409	-0.232144543	-0.729422133	0.309844629	-1.317172109	0.708055122	-0.600681467	-0.454668371	0.544851162	0.051469958	-0.233173656	0.191245318
126	0.373993237	0.01006489	-1.166922636	0.751853887	-1.478374428	0.89426971	-0.56819084	0.151526358	-0.30914552	0.971642199	-0.263601328	0.243606494
127	0.211641296	-0.238459278	-0.786330247	0.518866513	-1.421535197	0.918778873	-0.495492899	0.342486626	-0.342353634	0.317067744	-0.181966707	0.489342582
128	0.12149421	-0.32219724	0.182183586	0.233690875	-1.553719726	0.692744736	-0.697853583	0.008494622	-0.12118654	0.606637962	-0.261084519	1.177800228
129	0.45666283	-0.319328334	-0.133054715	1.59998442	-1.737015942	1.146657585	-0.469456224	-0.003702809	0.136561371	-0.253738744	1.018248471	-0.13008526
130	0.634412397	-0.060916029	-0.289815281	1.588843372	-1.328573216	1.426322987	-0.303077741	-0.278505871	0.352290441	-0.214718571	1.025067	-0.323768643
131	0.232319262	-0.067145512	-0.073108288	1.109935958	-1.621302711	1.12102653	-0.753247169	0.507528504	-0.073946558	0.460242914	-0.129515927	0.911332274
132	0.233417392	-0.083243685	0.106555325	0.604842017	-1.666335654	0.926975661	-0.678608531	-0.470920815	-0.032887956	0.190663266	-0.288199066	1.186410938
133	0.408435749	-0.178760475	-0.969119904	0.79133725	-1.442293425	0.971073191	-0.535036639	-0.148502782	0.297520605	0.009933485	0.012184802	-0.278950931
134	0.477002016	-0.256731162	-0.008089534	0.591076402	-1.950464353	1.068829034	-0.447918645	0.071765002	-0.319388566	1.071575171	-0.074536444	0.203928391
135	0.679885152	-0.250660923	-0.949048561	1.406684215	-1.816787481	0.68529874	-0.308613947	0.297171116	-0.278980017	0.012914894	-0.020351498	0.593413163
136	0.348298421	0.028120475	-1.229725829	1.214465896	-1.784813427	1.705112815	-0.570040691	-0.246623969	0.117858341	0.125550033	-0.117435708	0.819529918
137	0.770753748	0.108876553	-1.306945728	1.016643112	-1.685748786	1.082838649	-0.470938158	0.328580484	0.066975798	-0.402775279	0.938809172	-0.37524964
138	1.076808509	-0.385013062	-0.376223098	0.926045915	-1.898469158	1.25385052	-0.515329898	-0.506228572	0.009600235	-0.19180925	0.416559086	-0.156887347
139	1.079869054	-0.171006971	-1.194883249	1.535275225	-1.719693291	0.740933504	-0.524955866	0.131802948	-0.125249131	0.905188777	-0.039603631	0.106368428
140	0.423606404	-0.36961372	-0.449328304	1.508269341	-2.011037824	1.128450448	-0.444426615	0.522561948	0.035589872	-0.161153981	0.032456711	-0.309866434
141	0.248207268	-0.222772621	-0.062876364	1.88071287	-1.852389418	1.208984661	-0.612067609	0.168716452	-0.23062331	0.540026278	-0.191630123	0.61021899
142	1.257636906	-0.18625788	-0.524742684	0.986391253	-2.008479254	1.741995862	-0.646987725	0.197849357	-0.336438282	1.434321023	-0.244955345	0.356492372
143	1.186734691	0.058716415	-1.441147884	1.239144574	-1.918545498	1.346026999	-0.473236618	-0.410597285	1.081944851	0.039686776	0.008697844	-0.200012792
144	-0.133837869	1.109383367	-1.428794572	1.761655425	-2.09349466	1.529281532	-0.463765046	0.56277766	-0.372907146	0.736878797	-0.161380512	0.614840536
145	0.090224881	-0.522263814	-0.180365514	1.177522196	-1.777555269	1.567475799	-0.406408809	0.30282144	-0.366220889	0.611434841	-0.080345287	0.949630285
146	0.071843567	-0.055014552	-0.393123878	1.828247372	-2.055695683	1.249848687	-0.715634238	0.263529695	0.07330325	-0.020602433	0.114574751	-0.186918366
147	0.256923851	-0.432038325	-0.927902949	1.609471407	-2.079302417	1.874153036	-0.499096879	0.147538722	-0.218287291	0.650071363	-0.012204249	0.115726406
148	0.40537322	-0.387163658	-0.576238415	0.951716771	-2.11338102	1.58213916	-0.64293954	-0.186121805	1.014572221	0.095518976	-0.183218058	0.717719014
149	0.35828574	-0.313620642	-0.259749534	1.367091557	-1.887265228	1.858778881	-0.352597287	-0.043236883	0.966308939	0.056326534	-0.209451207	0.788435361
150	0.369474774	-0.35423639	-0.969074287	1.827586659	-2.140972557	1.227584035	-0.60505599	0.91432092	-0.165865059	0.507665474	0.058946791	-0.162732959
151	0.293145119	-0.408020492	-0.357384872	1.557465059	-1.935366771	1.368374623	-0.67381982	-0.232906906	0.539362715	0.108939362	-0.290195238	0.930946398
152	0.488224231	-0.53552644	-0.498750687	1.285880866	-2.198336939	2.154740251	-0.532455224	0.71850836	-0.055184309	1.363245	-0.209433284	0.286720459
153	0.683468036	-0.179011274	-0.34546505	1.623309076	-2.081528096	1.649596424	-0.596639801	-0.023055886	0.84130912	-0.084056561	0.620302479	0.072175915
154	0.463612416	-0.411919623	-0.622621853	1.79077302	-1.963449263	1.229749457	-0.274454565	0.226141854	-0.136949554	1.127260002	-0.014900818	0.815912177
155	0.446137995	-0.570468666	-1.042856463	1.717812116	-1.971059325	1.507676417	-0.315437233	0.620874328	-0.029277977	0.208133672	0.044617494	-0.02679559
156	0.210256577	-0.330022119	-0.523299844	2.318495429	-1.938230305	1.729162203	-0.405929984	-0.112506511	0.378726993	0.155686779	0.056968785	0.008313299
157	0.502976546	-0.356657019	-1.144937168	1.981868883	-2.144753511	1.495713721	-0.525560532	0.664331487	-0.081422222	1.321650679	-0.09996937	0.980042512
158	0.409491137	-0.517533456	-0.631969857	2.354843212	-2.34792564	2.02194626	-0.476964321	0.253610898	0.207112939	0.145679419	-0.178438274	0.455346392
159	0.339428303	-0.530599314	-0.255488825	2.113564683	-2.108742096	1.303968153	-0.449639689	0.110104268	-0.072940795	0.691595026	-0.222173064	0.971071604
160	0.340660632	-0.46056651	-1.441880663	1.502195571	-2.125160276	1.99183846	-0.475236943	-0.027372353	0.44019158	0.036452311	-0.35060898	0.21476403
161	0.819029179	-0.484848052	-1.281203157	2.015969451	-2.187731017	1.708116443	-0.414866537	0.300392884	-0.083567743	0.950306054	-0.232107305	0.599665117
162	0.349635275	-0.350809412	-1.151032504	1.852978901	-2.114489912	2.277060921	-0.516505028	0.904554395	-0.225162145	0.901248641	-0.024601783	1.096910246
163	0.486348381	-0.270262767	-1.110487232	1.559898612	-2.135642372	1.652618415	-0.233638866	0.435572894	0.120234064	-0.143044398	0.565198324	0.074465241
164	0.856774104	-0.328340173	-0.355407614	1.528489103	-2.188671184	1.744091488	-0.439316463	-0.426584144	0.744242329	0.105906085	-0.266030038	0.525853764
165	0.353021897	-0.471527916	-0.804501264	1.574246338	-2.048578517	2.315434009	-0.585473695	0.627144526	0.034683505	-0.140440842	0.489471747	0.044991217
166	1.398508247	-0.547031128	-1.056539782	2.61753745	-2.18869592	1.924861106	-0.459613804	0.061729877	0.116775409	-0.065263278	1.239021876	-0.025426553
167	0.52836404	-0.297363444	-0.369615196	2.258184172	-2.035165301	1.509531481	-0.442300352	0.354621828	-0.056562895	1.101265536	-0.209219483	1.093776431
168	-0.012037864	0.8163198	-1.626851301	2.597970863	-2.158318568	1.657183408	-0.597110125	0.352565252	-0.201295556	0.366456233	-0.138517376	1.146229946
169	0.123655134	-0.540331329	-0.805720553	2.738255424	-2.32181435	2.386786186	-0.352246634	-0.22724504	1.207547533	0.086183253	-0.220992289	0.160940864
170	0.252621883	-0.516857429	-0.311314409	2.218358228	-2.286584176	1.315445499	-0.540719349	0.736576964	-0.166148989	0.508459207	0.163169156	-0.038698229
171	0.086228815	-0.327875328	-0.521005072	2.099067695	-2.048002051	1.940562979	-0.682033977	-0.418695922	0.979726571	0.205351294	0.031550279	-0.052267336
172	0.098522874	-0.530832525	-0.958589629	2.336892971	-2.155418876	1.882685458	-0.328859754	0.180532051	-0.315709505	0.33648591	-0.321701433	1.151178994
